video_id,predictions,answers,prediction_time_seconds,correctPredictions,totalPredictions,totalAnswers
Y0N9EN0BEjP0,"Vehicle; Train; Rail transport; Railroad car, train wagon; Bus; Truck; Car; Clickety-clack; Outside, urban or manmade; Subway, metro, underground","Vehicle; Truck; Bus; Traffic noise, roadway noise",0.638,3,10,4
Y0NMnJXcrhPo,"Whack, thwack; Whip","Whoosh, swoosh, swish",0.655,0,2,1
Y0noFcocWRzw,"Glass; Breaking; Music; Shatter; Chink, clink",Glass; Breaking,0.715,2,5,2
Y0NW8rsCj6xQ,Bouncing; Ping; Speech; Basketball bounce,Ping,0.642,1,4,1
Y0NZLG7HMiLg,"Fireworks; Gunshot, gunfire; Machine gun; Firecracker",Wind; Wind noise (microphone); Fire,0.650,0,4,3
Y0O-gZoirpRA,"Vehicle; Car; Music; Speech; Race car, auto racing; Boom; Tire squeal; Mechanisms",Car; Reversing beeps,0.691,1,8,2
Y0OFlTh2_Obo,"Animal; Dog; Domestic animals, pets; Howl; Canidae, dogs, wolves; Bark; Whimper (dog); Yip; Bow-wow; Speech","Speech; Yip; Bow-wow; Canidae, dogs, wolves",0.652,4,10,4
Y0OhqyNGlJYE,Bouncing; Door; Knock; Wood,Knock,0.671,1,4,1
Y0oI0BvmTLvA,"Music; Ice cream truck, ice cream van; Vehicle; Alarm clock",Music; Alarm clock; Clock,0.662,2,4,3
Y0Olm321vgk8,"Music; Singing; Gospel music; Choir; Vocal music; Christian music; Inside, large room or hall; Musical instrument",Male singing; Music,0.645,1,8,2
Y0onKcFY1Tu0,Frog; Croak; Speech,Frog; Croak,0.647,2,3,2
Y0oudYrPGNN8,"Speech; Doorbell; Music; Inside, small room; Ding-dong",Music; Doorbell,0.666,2,5,2
Y0OY8XXZ98rw,Music; Heavy metal; Angry music; Grunge; Progressive rock; Punk rock; Rock music,Male singing; Synthetic singing; Music,0.673,1,7,3
Y0OYlHvyfNk4,Music; Music of Latin America; Salsa music; Maraca; Rattle (instrument); Singing; Musical instrument,Music; Swing music; Funk; Music of Latin America; Music of Africa; Ska,0.646,2,7,6
Y0p7J0O8ew0k,"Speech; Vehicle; Helicopter; Aircraft; Engine; Propeller, airscrew; Idling; Outside, rural or natural",Speech; Crack,0.650,1,8,2
Y0pewITE1550,Drum; Percussion; Music; Drum roll; Bass drum; Snare drum; Drum kit; Musical instrument; Wood block; Rimshot,Music; Roll,0.648,1,10,2
Y0pHPUaSSEWc,"Gunshot, gunfire; Speech; Fusillade; Artillery fire",Fusillade,0.631,1,4,1
Y0pHTgC1Frnw,"Marimba, xylophone; Vibraphone; Music; Glockenspiel; Mallet percussion; Musical instrument; Percussion","Tubular bells; Mallet percussion; Marimba, xylophone; Glockenspiel",0.676,3,7,4
Y0PHUQku2P5I,Music; Opera; Singing; Speech; Choir; A capella,Choir; Music; Opera; Song,0.685,3,6,4
Y0PKdFG3iB8w,Music; Applause; Musical instrument; Sitar; Tabla; Percussion; Classical music; Speech; Bowed string instrument,Percussion; Drum; Tabla,0.716,2,9,3
Y0pLgOm0xgjY,"Music; Smash, crash; Boom; Whack, thwack","Smash, crash",0.643,1,4,1
Y0PMFAO4TIU4,Music; Music of Africa; Afrobeat; Reggae,Music; Jazz,0.666,1,4,2
Y0PQYNtIBVf4,"Vehicle; Engine; Aircraft; Idling; Propeller, airscrew; Vibration",Jet engine; Engine; Idling,0.673,2,6,3
Y0pyk5xo7XAI,"Vehicle; Car; Outside, urban or manmade; Race car, auto racing; Motor vehicle (road); Outside, rural or natural; Truck; Speech; Motorcycle; Flap",Rustle,0.671,0,10,1
Y0pYpyy1VXdM,"Speech; Children playing; Child speech, kid speaking; Music; Bird; Chirp, tweet","Speech; Child speech, kid speaking; Bird; Squawk; Outside, rural or natural",0.665,3,6,5
Y0q1wOYCfLlQ,Steam whistle; Steam; Hiss; Train whistle,Steam; Steam whistle,0.659,2,4,2
Y0QabiRBcEKc,Speech; Pink noise; Waterfall; Vehicle,"Speech; Male speech, man speaking; Pink noise",0.665,2,4,3
Y0QdEYUt4LL8,"Speech; Liquid; Boiling; Water; Trickle, dribble; Inside, small room; Fill (with liquid)",Fire,0.697,0,7,1
Y0qDs_aC0LwI,Music; Scratch; Electronic music; Scratching (performance technique); Dubstep,Mouse; Music,0.627,1,5,2
Y0QqQ1j1vBgw,Music; Speech,"Speech; Music; Vehicle; Aircraft; Propeller, airscrew; Fixed-wing aircraft, airplane; Engine",0.667,2,2,7
Y0QSPtpp1HN8,Organ; Hammond organ; Music; Musical instrument; Accordion; Electronic organ; Keyboard (musical); Piano,Keyboard (musical); Piano; Organ; Hammond organ,0.699,4,8,4
Y0QTme5iyg4A,"Speech; Gunshot, gunfire; Machine gun; Firecracker",Speech; Explosion,0.674,1,4,2
Y0QYedLfOwcI,"Speech; Fart; Sniff; Domestic animals, pets; Inside, small room; Animal; Snoring; Dog; Cat",Speech; Fart,0.664,2,9,2
Y0qZ54ovyEWQ,"Speech; Telephone dialing, DTMF; Telephone; Inside, small room; Telephone bell ringing","Speech; Telephone dialing, DTMF; Inside, small room",0.660,3,5,3
Y0R6KIVvlyfQ,"Speech; Conversation; Female speech, woman speaking; Inside, small room",Hum; Mains hum,0.691,0,4,2
Y0R85JknaH-w,"Speech; Splash, splatter; Child speech, kid speaking; Water; Rowboat, canoe, kayak; Boat, Water vehicle; Slosh; Vehicle","Speech; Splash, splatter",0.661,2,8,2
Y0rbUCEM20aw,Speech; Music; Vehicle,Speech; Bang,0.661,1,3,2
Y0RcMzUdXDRQ,Music; Music for children; Singing; Happy music,Music; Jazz; Dance music,0.631,1,4,3
Y0Rg7tKJWk2w,"Speech; Vehicle; Boat, Water vehicle; Whale vocalization; Rowboat, canoe, kayak; Aircraft",Speech; Gurgling,0.679,1,6,2
Y0RgGrVklaao,Boom; Music,Music; Boom,0.672,2,2,2
Y0RGXyIbiHa4,Vehicle,Rattle,0.653,0,1,1
Y0RJa3t8qZS4,Music; Rapping; Hip hop music; Reggae; Singing,Rapping; Music; Hip hop music; Music of Africa,0.680,3,5,4
Y0Rjyih3W0Is,"Flute; Music; Wind instrument, woodwind instrument; Musical instrument; Whistle","Wind instrument, woodwind instrument; Flute",0.659,2,5,2
Y0RMYLychMXc,Speech; Music; Basketball bounce; Vehicle; Car; Skateboard,"Hubbub, speech noise, speech babble",0.686,0,6,1
Y0rNQE7fccQg,"Vehicle; Reversing beeps; Truck; Speech; Air brake; Outside, urban or manmade; Bus",Vehicle; Air brake,0.642,2,7,2
Y0Rp0mQTZF2o,Speech; Music; Whale vocalization; Rumble; Cricket; Insect,Speech; Music; Gurgling,0.692,2,6,3
Y0rqmPdr352Q,"Animal; Speech; Outside, rural or natural; Bird; Wild animals; Bird vocalization, bird call, bird song; Insect; Music; Chirp, tweet; Cricket",Rattle; Rattle (instrument),0.669,0,10,2
Y0Rt6sNb3P8o,Theremin; Alarm; Fire alarm; Siren; Car alarm,Scary music,0.667,0,5,1
Y0RyzdrZgrus,Music; Speech,"Speech; Music; Burst, pop",0.673,2,2,3
Y0rz3h0ghprk,"Speech; Crumpling, crinkling; Inside, small room; Tearing; Crack","Speech; Crumpling, crinkling",0.657,2,5,2
Y0rzB4A1PjnA,"Speech; Clicking; Narration, monologue; Gasp; Male speech, man speaking",Clicking,0.644,1,5,1
Y0RZRFj7zDnQ,Cello; Double bass; Bowed string instrument; Music; Musical instrument,Bowed string instrument; Cello; Double bass,0.666,3,5,3
Y0s0Uy0-zBa0,"Telephone dialing, DTMF; Music; Dial tone",Music; Sidetone,0.669,1,3,2
Y0S2mvjzH_xQ,"Speech; Outside, rural or natural; Trickle, dribble; Gunshot, gunfire",Environmental noise,0.695,0,4,1
Y0s6gEV9d52I,"Speech; Gunshot, gunfire; Machine gun",Speech; Buzzer,0.674,1,3,2
Y0saogke2Mec,Rain; Music; Vehicle,"Thump, thud",0.654,0,3,1
Y0sE4JvKFpMI,Cheering; Vehicle,Speech; Slosh,0.582,0,2,2
Y0sfFYUPAANk,"Music; Smash, crash; Whoosh, swoosh, swish; Mechanisms; Boom; Whack, thwack","Whoosh, swoosh, swish",0.683,1,6,1
Y0SLv6CmZas8,Speech; Music,Speech; Music; Rustling leaves,0.638,2,2,3
Y0slyl34xWug,"Speech; Stream; Rain; Vehicle; Rain on surface; Water; Boat, Water vehicle","Speech; Splash, splatter",0.669,1,7,2
Y0SNhAKyXtC8,Music; Musical instrument; Plucked string instrument; Mandolin; Harp; Guitar,Music; Traditional music,0.655,1,6,2
Y0SnjS2w_c80,Music; Musical instrument; Speech,Music; Didgeridoo,0.674,1,3,2
Y0soVCtJgDTk,Music; Vehicle; Speech,Music; Single-lens reflex camera,0.679,1,3,2
Y0sPVAP17w2U,Music; Musical instrument; Brass instrument; Organ; Saxophone,Music; New-age music,0.691,1,5,2
Y0ssOpzqkojU,Music; Piano; Musical instrument; Keyboard (musical); Electric piano,Keyboard (musical); Harpsichord,0.645,1,5,2
Y0sstijfm2nM,Music; Cheering; Speech; Crowd; Children shouting; Singing,"Shout; Singing; Music; Inside, large room or hall; Inside, public space",0.714,2,6,5
Y0sYXPO7lzco,"Speech; Vehicle; Car; Bus; Motor vehicle (road); Outside, urban or manmade; Traffic noise, roadway noise",Speech; Music; Vehicle; Bicycle,0.680,2,7,4
Y0tgNg0MHgxc,"Music; Speech; Whack, thwack; Thunk",Wood; Splinter,0.653,0,4,2
Y0TiEO149Ydc,"Music; Guitar; Musical instrument; Singing; Plucked string instrument; Speech; Acoustic guitar; Strum; Inside, small room",Music; Jazz,0.659,1,9,2
Y0TKyCw1Ykq8,Vehicle; Car,Rustle,0.670,0,2,1
Y0toUq9UHCSA,"Vehicle; Helicopter; Aircraft; Train; Fixed-wing aircraft, airplane","Vehicle; Propeller, airscrew",0.661,1,5,2
Y0trWdhSvab4,Music; Singing; Gospel music; Choir; Christian music; Jingle (music),Clapping; Music,0.647,1,6,2
Y0TSOlaZXXM8,"Music; Guitar; Plucked string instrument; Musical instrument; Bass guitar; Inside, small room; Acoustic guitar; Electronic tuner; Electric guitar",Music; Musical instrument; Plucked string instrument; Guitar; Bass guitar; Tapping (guitar technique),0.664,5,9,6
Y0TV9zvfwFhs,Music; Rhythm and blues; Hip hop music; Rapping; Singing,Male singing; Synthetic singing; Music,0.679,1,5,3
Y0TvuLbDrd6g,"Animal; Outside, rural or natural; Speech; Insect; Bird; Bee, wasp, etc.",Animal; Goat,0.671,1,6,2
Y0U20V7Kh_kc,"Speech; Dishes, pots, and pans; Cutlery, silverware; Inside, small room; Wood","Speech; Chink, clink",0.673,1,5,2
Y0u5dddSWuj8,"Bagpipes; Wind instrument, woodwind instrument; Music; Musical instrument","Wind instrument, woodwind instrument; Bagpipes",0.654,2,4,2
Y0U7mQ5GYMX8,Music; Music of Bollywood; Middle Eastern music; Singing; Tabla; Folk music; Carnatic music; Drum; Percussion,Percussion; Tabla,0.682,2,9,2
Y0U9_6RyH3_M,"Squeak; Bird; Rodents, rats, mice; Mouse; Music; Animal",Mouse,0.657,1,6,1
Y0Ubu4BqSWmU,Music; Speech,Music; Tender music,0.685,1,2,2
Y0UF1FHDPM1A,"Speech; Laughter; Snicker; Chuckle, chortle",Speech; Snicker,0.669,2,4,2
Y0unBNMBYhwQ,"Music; Speech; Jingle, tinkle",Speech; Music; Crunch,0.651,2,3,3
Y0V7-w8K3Fgw,"Speech; Child speech, kid speaking; Inside, small room; Female speech, woman speaking","Speech; Chink, clink",0.567,1,4,2
Y0VCK8rLKXKA,Music; Guitar; Singing; Plucked string instrument; Musical instrument; Acoustic guitar; Strum,Flamenco,0.692,0,7,1
Y0vFPs6XsU_Q,Music; Singing; Music of Bollywood; Music of Asia,Male singing; Female singing; Music,0.642,1,4,3
Y0vg9qxNKXOw,Speech; Arrow; Skateboard,Speech; Skateboard; Slam,0.654,2,3,3
Y0VjPCd62oKg,Duck; Music; Quack; Animal; Goose; Fowl; Honk,Duck; Music,0.659,2,7,2
Y0VnKeRijmM8,Speech; Music; Breaking; Shatter; Groan; Crack,"Smash, crash",0.659,0,6,1
Y0vSmiq7CrCk,"Neigh, whinny; Horse; Animal; Clip-clop","Animal; Horse; Neigh, whinny",0.677,3,4,3
Y0vXqf9ix8LE,"Speech; Frog; Animal; Music; Outside, rural or natural; Croak; Wild animals",Insect; Cricket,0.684,0,7,2
Y0W1sNicXboU,"Speech; Music; Splash, splatter; Boat, Water vehicle; Rowboat, canoe, kayak; Slosh; Vehicle","Speech; Music; Water; Splash, splatter",0.654,3,7,4
Y0w7pCxwXzVc,Speech; Animal,Wind; Wind noise (microphone); Fire,0.676,0,2,3
Y0wgqpjfTmJI,"Music; Speech; Inside, small room",Speech; Music; Zipper (clothing),0.682,2,3,3
Y0Wkk9iNzA9c,"Animal; Dog; Domestic animals, pets; Bark; Growling; Canidae, dogs, wolves; Bow-wow; Whimper (dog)","Animal; Domestic animals, pets; Dog; Growling; Canidae, dogs, wolves",0.642,5,8,5
Y0wM_qR6Yihk,Music; Musical instrument; Organ; Drum; Electronic organ; Hammond organ; Drum kit; Keyboard (musical),Swing music,0.682,0,8,1
Y0wp4JNMogzQ,"Music; Marimba, xylophone; Glockenspiel; Mallet percussion; Musical instrument; Piano",Tubular bells,0.651,0,6,1
Y0wYi8B9PXDY,Humming; Music; Vocal music; Beatboxing; Musical instrument; Speech,Humming; Music; Beatboxing,0.668,3,6,3
Y0wzsE67O5tE,"Music; Musical instrument; Guitar; Plucked string instrument; Acoustic guitar; Strum; Electric guitar; Steel guitar, slide guitar",Music; Musical instrument; Plucked string instrument; Ukulele,0.671,3,8,4
Y0x82_HySIVU,Music; Guitar; Musical instrument; Plucked string instrument; Acoustic guitar; Flamenco; Strum,Music; Vehicle; Bicycle,0.691,1,7,3
Y0x9TnOQ5Nhw,"Bird; Pigeon, dove; Coo; Bird vocalization, bird call, bird song; Chirp, tweet; Inside, small room; Outside, rural or natural; Speech","Bird; Bird vocalization, bird call, bird song; Pigeon, dove; Coo",0.671,4,8,4
Y0xDlT_u31fg,"Vehicle; Emergency vehicle; Siren; Car; Fire engine, fire truck (siren); Truck; Ambulance (siren); Motor vehicle (road); Police car (siren); Traffic noise, roadway noise","Emergency vehicle; Fire engine, fire truck (siren); Siren",0.660,3,10,3
Y0Xe2zCJNjvk,"Speech; Electric shaver, electric razor; Snake; Music",Speech; Buzz,0.679,1,4,2
Y0XeH2s-LzZE,Plop; Speech; Knock; Music,Speech; Music; Bouncing,0.631,2,4,3
Y0XFFOBzJ3aw,Music; Singing,"Wind instrument, woodwind instrument; Flute",0.654,0,2,2
Y0xGoUJpt6eQ,Stomach rumble; Animal,Stomach rumble,0.665,1,2,1
Y0xm_4yGhHjc,"Animal; Speech; Domestic animals, pets; Cat; Rodents, rats, mice; Dog; Music",Squeal,0.681,0,7,1
Y0XSNrKgA94g,Music; Speech,Thunderstorm; Thunder,0.683,0,2,2
Y0XTWdzBttaU,"Dial tone; Beep, bleep; Busy signal",Sidetone,0.657,0,3,1
Y0XxinBtKouQ,Music; Bluegrass; Banjo; Musical instrument; Country; Singing; Plucked string instrument; Guitar; Bowed string instrument,Music; Banjo; Rock and roll; Country; Bluegrass,0.660,4,9,5
Y0Y8TTBlRKkQ,Speech; Pink noise; Waterfall; Stream; Rain; Rain on surface,Waterfall,0.670,1,6,1
Y0Ycad70UNwE,Speech; Music; Singing,Speech; Synthetic singing; Music,0.659,2,3,3
Y0YIWrXgCjiM,Music; Singing; Jingle (music); Crowd,Choir; Male singing; Child singing; Music,0.668,1,4,4
Y0YI_WYJVv2M,Tools; Power tool; Sawing; Wood; Drill; Vacuum cleaner; Rub,Bleat; Sheep,0.669,0,7,2
Y0ylr6p_m4p0,"Speech; Crumpling, crinkling; Inside, small room; Tearing; Crunch","Speech; Crunch; Inside, small room",0.648,3,5,3
Y0yRQSlu-ooc,Music; Grunge; Progressive rock; Rock music; Heavy metal; Punk rock,Music; Zipper (clothing),0.632,1,6,2
Y0YsC6M4GFoc,Speech; Music,Speech; Bang,0.670,1,2,2
Y0yT6ihPVX54,Music; Singing,Music; Bang,0.650,1,2,2
Y0yTfnhm-Ny0,Speech; Animal; Horse,Speech; Crack,0.650,1,3,2
Y0YTieIiZNN4,"Machine gun; Gunshot, gunfire; Speech; Cap gun","Gunshot, gunfire; Machine gun",0.682,2,4,2
Y0yxJzCQW5zI,Whispering; Speech,Whispering,0.642,1,2,1
Y0Z760XNy4VM,"Speech; Radio; Telephone; Inside, small room",Speech; Mouse,0.643,1,4,2
Y0ZAfYE4bgs8,"Speech; Telephone bell ringing; Music; Inside, small room","Speech; Telephone bell ringing; Inside, small room",0.672,3,4,3
Y0zDEut-yfis,"Speech; Cutlery, silverware; Dishes, pots, and pans; Animal",Chop,0.667,0,4,1
Y0zgffMTkGtU,"Speech; Narration, monologue; Male speech, man speaking; Female speech, woman speaking",Speech; Shout,0.691,1,4,2
Y0ZN2HKsFg4A,Music; Speech; Synthesizer; Sonar; Musical instrument,"Speech; Music; Sonar; Outside, urban or manmade",0.679,3,5,4
Y0zP9jebYSrk,Speech; Music; Dial tone,Speech; Sidetone,0.657,1,3,2
Y0_1BfYtffzg,"Speech; Crushing; Coin (dropping); Crumpling, crinkling; Inside, small room",Crushing,0.652,1,5,1
Y0_8-g2rof7E,"Heart murmur; Heart sounds, heartbeat; Music","Heart sounds, heartbeat",0.653,1,3,1
Y0_9-dbUW0hU,Music; Musical instrument; Organ; Electronic organ; Guitar,Music; Musical instrument; Theremin,0.662,2,5,3
Y0_B2YnBAz3A,"Speech; Music; Sigh; Inside, small room",Speech; Sneeze; Music,0.681,2,4,3
Y0_FFqLukmHk,Sneeze; Cough; Speech,Sneeze,0.660,1,3,1
Y0_gci63CtFY,"Vehicle; Fire engine, fire truck (siren); Emergency vehicle; Truck; Car; Siren; Motor vehicle (road); Speech; Air horn, truck horn; Ambulance (siren)","Speech; Air horn, truck horn",0.668,2,10,2
Y0_O6nVfnCH8,"Speech; Child speech, kid speaking; Splash, splatter; Children playing; Water; Bathtub (filling or washing)","Speech; Child speech, kid speaking; Splash, splatter",0.702,3,6,3
Y0_XItMAYkwc,Music; Speech; Singing,Music; Jazz,0.694,1,3,2
Y1-feQHDL-Qo,"Speech; Waterfall; Gunshot, gunfire; Vehicle",Stream; Waterfall,0.650,1,4,2
Y1-TnkdEPXEw,"Snoring; Dog; Domestic animals, pets",Snoring,0.657,1,3,1
Y1-WyAvPxqDM,Plop; Speech; Music,Speech; Plop,0.669,2,3,2
Y1-Y9kafYuqQ,Music; Electronic music; Dubstep; Scratching (performance technique); Scratch,Music; Scratch,0.659,2,5,2
Y1-z7wzzstMs,"Vehicle; Car; Race car, auto racing; Tire squeal; Motor vehicle (road)",Scrape,0.677,0,5,1
Y1a-ODBWMUAE,"Pink noise; Waves, surf; Ocean",Waterfall,0.645,0,3,1
Y1A4faLHDx_U,Speech; Plop,Silence,0.628,0,2,1
Y1ACn3u5UnBw,Music; Singing; Music of Bollywood; Speech,Male singing; Music,0.714,1,4,2
Y1aigfM5Tmqk,Speech; Music,Yodeling,0.682,0,2,1
Y1Aokrz07aSA,"Wheeze; Chewing, mastication; Crunch; Biting",Pant,0.658,0,4,1
Y1aZKmCUlXrY,"Animal; Dog; Domestic animals, pets; Bark; Ding-dong; Music; Doorbell; Canidae, dogs, wolves; Bow-wow; Growling",Flap,0.672,0,10,1
Y1aZrc1oTbIo,"Speech; Liquid; Water; Water tap, faucet; Fill (with liquid); Pour; Sink (filling or washing)",Speech; Water; Pour,0.664,3,7,3
Y1a_nvi4sW64,Music; Singing; Pop music; Music of Asia,Music; Pop music; Disco; Dance music,0.647,2,4,4
Y1B-RuZgSqf8,Raindrop; Rain; Rain on surface; Frying (food); Water; Sizzle,Raindrop,0.682,1,6,1
Y1bbyaXEVouE,A capella; Choir; Singing; Music; Gospel music; Chant; Vocal music,Choir; A capella; Crackle,0.669,2,7,3
Y1bIH_Qh_clk,Frog; Croak,Frog; Croak,0.685,2,2,2
Y1bKf5nrT4DQ,"Speech; Vehicle; Toot; Car; Vehicle horn, car horn, honking; Outside, urban or manmade; Motor vehicle (road); Air horn, truck horn","Speech; Air horn, truck horn",0.653,2,8,2
Y1bSP4wLfMpA,"Music; Speech; Whoosh, swoosh, swish",Music; Scary music,0.691,1,3,2
Y1btWmt9io-Y,"Keys jangling; Speech; Vehicle; Car; Power windows, electric windows",Speech; Vehicle; Motor vehicle (road); Car; Keys jangling,0.675,4,5,5
Y1BVSYfNCcv0,Music; Singing; Christian music; Christmas music; Independent music,Music; Wedding music,0.669,1,5,2
Y1BYZiONhW3c,Singing; A capella; Vocal music; Music; Choir; Female singing,Singing; Choir; Vocal music; A capella,0.669,4,6,4
Y1cCg1Y7zDnM,Drip; Water; Liquid; Gargling; Sink (filling or washing),"Thunk; Inside, small room",0.657,0,5,2
Y1ceaatuz77k,"Explosion; Burst, pop; Gunshot, gunfire; Artillery fire; Sound effect; Eruption",Bang,0.615,0,6,1
Y1CGx8zxQFx4,Speech; Radio; Music,Speech; Rapping; Music; Television,0.680,2,3,4
Y1cqcTbDxsHM,Music; Sonar; Electronic music,Music; Theremin,0.682,1,3,2
Y1CRvPsMwqrc,Speech; Music,Speech; Duck; Quack,0.662,1,2,3
Y1cwGW0cBdRs,"Music; Theremin; Musical instrument; Steel guitar, slide guitar; Humming",Music; Theremin,0.697,2,5,2
Y1cwOR9WGLOw,Music; Singing; Speech; Chop; Skateboard,Chopping (food),0.665,0,5,1
Y1cxvg7qu0G0,"Fireworks; Firecracker; Speech; Machine gun; Gunshot, gunfire; Outside, rural or natural; Animal",Speech; Firecracker,0.661,2,7,2
Y1D4LxbOVn1I,"Animal; Dog; Speech; Domestic animals, pets; Bow-wow; Bark; Yip; Growling; Canidae, dogs, wolves; Whimper (dog)","Speech; Animal; Domestic animals, pets; Dog; Yip; Bow-wow; Whimper (dog)",0.662,7,10,7
Y1D6UsaTflJ8,"Bird flight, flapping wings; Chirp, tweet; Pigeon, dove; Bird; Bird vocalization, bird call, bird song; Music; Coo; Speech; Outside, rural or natural","Bird flight, flapping wings",0.650,1,9,1
Y1De-OI8YG-M,Thunder; Thunderstorm; Rain; Rain on surface; Raindrop,Thunderstorm; Thunder; Rain; Rain on surface,0.630,4,5,4
Y1dEobByUDYo,Music; Plucked string instrument; Speech; Guitar; Musical instrument; Acoustic guitar; Strum,Speech; Music; Jingle (music),0.653,2,7,3
Y1dH-lZ8TNLU,Turkey; Gobble; Fowl,"Fowl; Turkey; Gobble; Bird; Bird vocalization, bird call, bird song",0.660,3,3,5
Y1DNoynuGLV4,Music; Ringtone,Music; Cash register,0.654,1,2,2
Y1doTwVszic8,"Speech; Vehicle; Car; Outside, rural or natural; Wind noise (microphone); Wind",Speech; Gurgling,0.648,1,6,2
Y1DS0AE3vTwA,"Music; Speech; Child speech, kid speaking",Speech; Music; Bell,0.662,2,3,3
Y1dt9eL2rmSY,"Music; Whale vocalization; Roaring cats (lions, tigers); Wild animals; Animal; Organ; Roar; Musical instrument",Whale vocalization; Music,0.699,2,8,2
Y1DWt70gTqHc,Speech; Dial tone; Busy signal; Sidetone; Music,Speech; Music; Busy signal,0.650,3,5,3
Y1dyFP4MGkIM,"Vehicle; Car; Race car, auto racing; Tire squeal; Squeal; Skidding; Motor vehicle (road); Outside, urban or manmade",Vehicle; Motor vehicle (road); Car; Skidding,0.677,4,8,4
Y1dzwFnXJ7_E,Tuning fork; Sine wave; Chirp tone,Tuning fork,0.640,1,3,1
Y1e0_4dwF9A4,"Animal; Cat; Domestic animals, pets; Speech; Meow; Roaring cats (lions, tigers); Purr; Caterwaul; Growling",Fowl; Goose; Honk,0.652,0,9,3
Y1edm2kNMYZs,Wood; Splinter; Vehicle,Wood; Splinter,0.648,2,3,2
Y1ED_uNM-KfE,"Train; Rail transport; Railroad car, train wagon; Vehicle; Music; Clickety-clack; Train horn; Tubular bells; Speech",Train whistle,0.673,0,9,1
Y1EEy-aXHzRI,"Speech; Trickle, dribble; Pour; Music; Water","Trickle, dribble",0.652,1,5,1
Y1EH6atYydBc,Vehicle; Engine; Idling; Medium engine (mid frequency); Vibration; Car; Engine knocking,Lawn mower,0.667,0,7,1
Y1EiNSiO0UvU,Vehicle; Speech,Sneeze; Animal,0.669,0,2,2
Y1ENC2smc8Ig,Music; Breaking; Shatter,Printer,0.643,0,3,1
Y1eP5LSjyge0,Hair dryer; Vacuum cleaner,Hair dryer,0.677,1,2,1
Y1ETrMAVZdY8,"Bird; Pigeon, dove; Coo; Chirp, tweet; Bird vocalization, bird call, bird song","Bird; Bird vocalization, bird call, bird song; Chirp, tweet; Pigeon, dove; Coo",0.653,5,5,5
Y1EuGaYmvlXM,Goose; Honk; Fowl; Speech,Fowl; Goose; Honk,0.652,3,4,3
Y1EWkwWXwI1g,"Firecracker; Fireworks; Vehicle; Car; Gunshot, gunfire; Outside, urban or manmade",Speech; Firecracker,0.676,1,6,2
Y1EZ1_l3MpWw,"Whip; Whoosh, swoosh, swish","Slap, smack",0.437,0,2,1
Y1F-jIu9oy6A,"Splash, splatter; Speech; Rowboat, canoe, kayak; Water; Boat, Water vehicle; Vehicle","Speech; Splash, splatter",0.656,2,6,2
Y1f-L1M-S6RQ,"Vehicle; Speech; Car; Race car, auto racing; Boat, Water vehicle; Motorboat, speedboat; Motorcycle; Flap; Motor vehicle (road); Tire squeal","Speech; Vehicle; Tire squeal; Race car, auto racing; Accelerating, revving, vroom; Flap",0.693,5,10,6
Y1F23RciUwDE,Vehicle; Engine; Idling; Engine starting; Car; Speech; Medium engine (mid frequency); Vibration; Engine knocking,Vehicle; Aircraft; Engine; Engine starting,0.654,3,9,4
Y1F3_bvIT0ig,"Music; Vehicle; Car; Heavy metal; Angry music; Rock music; Race car, auto racing; Progressive rock; Guitar",Car passing by,0.648,0,9,1
Y1F8hWMEtlZM,Vehicle; Speech; Waterfall,Static,0.661,0,3,1
Y1F9zCsJyw6k,"Vehicle; Car; Speech; Emergency vehicle; Police car (siren); Siren; Motor vehicle (road); Ambulance (siren); Fire engine, fire truck (siren); Skidding",Emergency vehicle; Police car (siren); Siren,0.677,3,10,3
Y1FbxStVuFYU,Music; Boom; Speech; Vehicle,"Burst, pop",0.723,0,4,1
Y1fD5B_VGkQk,"Music; Boom; Smash, crash; Whack, thwack; Fusillade; Speech","Smash, crash",0.666,1,6,1
Y1fDGejVDAHU,Chainsaw; Power tool,Chainsaw,0.683,1,2,1
Y1FnA3w94zXI,Music; Musical instrument; Guitar; Plucked string instrument; Tapping (guitar technique); Electric guitar; Strum; Speech,Music; Electric guitar; Tapping (guitar technique),0.683,3,8,3
Y1fSsCqTeqYM,"Dial tone; Speech; Telephone; Telephone dialing, DTMF; Sidetone; Inside, small room",Speech; Dial tone,0.660,2,6,2
Y1FU5odlgLmo,Music; Banjo; Bluegrass; Musical instrument; Country; Plucked string instrument; Guitar,Yip; Music; Mandolin; Bluegrass,0.662,2,7,4
Y1fwLpj3yVmU,Music; Singing; Vocal music; A capella,"Synthetic singing; Music; Outside, urban or manmade",0.652,1,4,3
Y1g0vAT8GHt0,Speech; Vehicle; Car; Motor vehicle (road),Speech; Whir,0.660,1,4,2
Y1G4aDTUuo7g,"Speech; Radio; Telephone; Inside, small room",Radio,0.638,1,4,1
Y1g6sdWOc9k4,Stream; Rain; Vehicle; Rain on surface; Waterfall,Stream,0.629,1,5,1
Y1G6wtnmdZhE,"Skidding; Car; Vehicle; Tire squeal; Speech; Music; Race car, auto racing; Motor vehicle (road)",Car passing by,0.676,0,8,1
Y1g7sOtOiSRo,Change ringing (campanology); Church bell; Bell,Change ringing (campanology),0.654,1,3,1
Y1g9FuuIIs84,Patter; Mechanisms,Creak,0.647,0,2,1
